Year,Month,Day,Temperature_2m,Dew_Point_Temperature_2m,Max_Temperature_2m,Min_Temperature_2m,Surface_Temperature,Wind_Speed_10m,Wind_Direction_10m,Wind_Speed_50m,Wind_Direction_50m,Surface_Pressure,Corrected_Precipitation,Relative_Humidity_2m
1983,1,1,5.48,-0.01,13.02,-0.81,4.48,2.43,263.62,3.73,265.12,98.23,0.11,70.38
1983,1,2,5.8,1.58,12.84,0.74,4.75,3.12,264.19,4.79,263.56,98.09,0.07,76.56
1983,1,3,5.43,3.12,11.65,0.27,4.99,3.73,212.5,6.01,212.62,98.47,0.16,84.56
1983,1,4,7.59,3.09,14.5,2.96,6.81,3.09,302.56,4.49,303.19,98.57,0.07,75.5
1983,1,5,9.02,0.41,18.82,3.52,8.19,4.4,285.0,7.34,285.31,98.22,0.0,58.75
1983,1,6,11.09,4.09,19.83,5.06,9.82,3.23,216.12,5.13,229.94,98.02,0.0,63.31
1983,1,7,9.72,2.79,17.58,4.82,8.4,2.94,205.06,4.7,204.44,98.14,0.0,66.19
1983,1,8,7.74,4.09,15.1,2.24,7.42,3.69,286.81,5.95,286.81,98.26,0.13,79.5
1983,1,9,7.2,3.85,12.56,2.39,6.81,6.24,328.44,9.33,329.19,98.05,1.48,81.56
1983,1,10,8.64,6.8,11.63,5.3,8.33,6.52,151.44,9.21,137.25,98.33,1.35,88.56
1983,1,11,8.15,5.02,13.39,3.1,8.08,4.34,14.94,6.41,15.06,98.71,0.84,82.19
1983,1,12,6.41,1.5,15.2,0.92,5.61,2.09,246.62,3.3,229.06,98.73,0.38,73.5
1983,1,13,6.93,-0.17,15.95,1.64,5.33,2.77,253.06,4.23,253.81,98.35,0.0,65.25
1983,1,14,7.58,-1.99,16.54,0.78,5.87,2.91,252.88,4.46,267.19,97.74,0.03,53.19
1983,1,15,7.04,2.18,15.23,1.57,6.23,4.48,308.12,7.03,308.19,97.2,0.17,73.38
1983,1,16,8.62,5.4,16.77,3.85,8.04,6.19,317.38,9.62,317.31,97.15,0.08,81.31
1983,1,17,8.97,4.34,17.01,3.73,8.01,3.98,267.38,6.14,281.94,97.77,0.01,76.44
1983,1,18,8.1,3.14,17.75,2.34,7.42,4.17,263.75,6.19,264.44,97.82,0.0,73.19
1983,1,19,10.27,1.25,20.06,4.65,9.48,5.16,279.75,8.28,280.81,97.12,0.01,57.94
1983,1,20,6.69,0.8,11.62,3.31,6.32,7.66,329.69,11.01,329.94,97.36,0.02,69.56
1983,1,21,3.88,-2.47,8.75,0.6,3.61,7.25,300.88,10.43,316.31,98.25,1.02,66.19
1983,1,22,4.55,-1.36,12.81,-0.51,4.11,4.55,277.94,6.9,278.19,98.6,0.02,68.75
1983,1,23,6.14,-1.62,14.3,-0.03,5.31,2.75,243.88,4.4,243.75,98.55,0.01,61.38
1983,1,24,7.57,-1.33,15.51,1.16,5.51,2.3,144.19,3.17,143.0,98.46,0.0,55.19
1983,1,25,5.83,1.02,13.66,0.37,5.3,3.56,152.5,5.54,151.88,98.62,0.02,75.88
1983,1,26,5.94,1.71,13.14,-0.01,5.04,2.79,215.88,4.38,215.25,98.93,0.04,75.94
1983,1,27,7.81,-2.03,16.2,1.01,5.85,2.02,184.0,2.82,182.38,98.61,0.0,53.69
1983,1,28,8.73,1.97,17.9,2.33,8.16,2.91,314.75,4.9,316.19,98.05,0.0,65.81
1983,1,29,9.26,3.45,18.26,3.73,8.63,3.95,311.81,6.11,311.25,97.78,0.0,70.94
1983,1,30,10.31,3.98,19.93,3.13,10.03,3.16,306.44,4.78,307.56,97.56,0.0,68.88
1983,1,31,11.44,4.0,20.69,5.85,11.15,5.6,311.94,8.24,311.75,97.42,0.0,63.94
1983,2,1,10.36,3.05,20.16,3.33,9.58,3.58,261.94,5.41,261.69,97.5,0.01,65.94
1983,2,2,10.87,2.34,19.11,4.94,10.21,5.34,316.62,7.63,316.62,97.36,0.0,58.06
1983,2,3,6.3,-0.08,13.33,2.15,6.32,5.76,190.5,8.2,190.19,98.03,0.01,67.62
1983,2,4,6.18,-0.55,14.26,-0.67,6.31,3.52,277.81,5.91,279.5,97.9,0.0,66.94
1983,2,5,6.8,0.86,12.94,2.7,6.59,3.68,185.06,5.95,184.5,97.61,0.03,69.12
1983,2,6,6.4,-1.37,13.73,0.8,6.25,6.62,239.25,9.63,239.69,96.47,0.0,61.0
1983,2,7,8.77,-0.8,16.71,4.19,8.57,4.26,264.44,6.58,264.56,95.65,0.0,52.69
1983,2,8,8.61,0.22,16.33,3.26,7.98,4.22,224.12,6.16,224.0,95.87,0.01,57.62
1983,2,9,9.49,0.58,18.16,2.9,8.98,3.29,207.38,5.09,207.75,95.82,0.0,56.69
1983,2,10,10.37,-0.2,17.65,3.8,9.47,5.43,221.44,7.58,221.62,95.31,0.0,50.12
1983,2,11,5.41,-3.58,11.19,0.36,5.3,7.67,245.38,10.7,246.12,95.74,0.02,56.69
1983,2,12,5.69,-4.06,15.62,-1.79,4.73,4.26,191.81,6.1,192.0,96.16,0.0,53.31
1983,2,13,8.49,-1.63,17.87,1.58,7.43,4.62,231.31,7.07,231.62,96.06,0.01,50.69
1983,2,14,9.58,1.23,17.18,2.18,9.52,4.66,221.69,7.21,223.31,96.26,1.16,58.31
1983,2,15,9.29,-0.22,17.8,1.67,9.1,4.64,275.0,7.58,275.44,96.5,0.0,58.19
1983,2,16,9.64,-0.28,18.63,3.05,9.24,4.45,248.31,6.79,248.56,96.87,0.04,55.56
1983,2,17,7.54,0.25,16.09,1.55,8.26,2.73,224.19,4.59,223.44,97.24,0.03,66.62
1983,2,18,6.85,2.94,11.66,2.53,7.18,2.66,116.38,3.71,117.62,97.37,3.57,77.5
1983,2,19,6.32,1.49,11.05,2.03,6.83,5.32,39.75,7.09,40.06,97.52,2.8,74.0
1983,2,20,6.33,-1.24,13.92,-0.79,6.29,3.95,232.12,5.51,233.25,97.55,0.0,63.25
1983,2,21,9.34,0.94,17.73,1.85,9.88,3.13,259.62,5.18,261.25,97.2,0.05,58.62
1983,2,22,10.3,3.62,18.48,4.87,11.01,2.67,140.62,4.52,196.69,97.3,0.03,67.25
1983,2,23,9.11,3.7,16.21,2.94,9.86,2.73,63.69,4.12,62.44,97.9,0.02,72.81
1983,2,24,9.29,7.23,12.34,6.89,9.87,2.0,119.19,2.89,121.25,98.26,0.93,87.56
1983,2,25,11.09,7.71,15.56,8.26,11.69,1.99,145.06,2.95,148.12,98.19,0.39,81.06
1983,2,26,11.69,7.55,19.18,6.65,11.29,2.51,244.75,3.77,245.69,97.82,0.29,78.12
1983,2,27,12.97,7.06,20.45,6.8,13.29,3.56,330.19,5.46,329.25,97.51,0.04,71.69
1983,2,28,11.27,1.63,19.65,3.97,10.58,3.84,246.62,5.49,245.19,97.44,0.01,58.75
1983,3,1,12.44,2.76,20.68,4.49,11.83,3.22,262.56,4.66,263.38,96.93,0.05,56.19
1983,3,2,9.08,2.05,14.66,5.15,9.33,7.05,298.69,9.89,298.62,96.91,0.23,66.0
1983,3,3,7.63,2.02,14.05,2.96,8.12,5.89,285.69,8.34,285.5,97.48,0.55,70.12
1983,3,4,8.26,1.44,16.15,2.06,8.8,3.87,186.0,5.42,185.31,98.01,0.07,67.75
1983,3,5,8.76,1.75,17.9,1.8,9.76,2.42,214.19,3.74,223.38,98.08,0.14,68.0
1983,3,6,10.34,2.4,18.58,3.37,11.24,2.52,196.19,3.8,198.69,97.82,0.0,64.31
1983,3,7,10.63,5.2,15.4,6.41,11.35,1.52,123.62,2.01,125.75,97.88,0.53,71.75
1983,3,8,11.09,4.09,18.48,4.62,11.57,2.01,138.0,2.79,135.56,97.98,0.0,65.69
1983,3,9,12.3,2.98,20.9,4.51,12.41,2.14,212.88,3.11,213.12,97.9,0.0,59.19
1983,3,10,15.09,1.23,24.7,7.24,15.19,2.57,254.25,4.35,258.38,97.44,0.0,43.06
1983,3,11,14.19,3.29,21.1,8.49,14.67,4.91,261.06,7.56,260.5,96.98,0.13,50.25
1983,3,12,11.97,5.9,19.39,6.84,12.55,5.26,274.69,7.74,274.38,97.25,0.06,70.75
1983,3,13,12.26,4.62,21.3,5.62,13.5,2.93,191.56,4.54,203.69,97.73,0.0,67.38
1983,3,14,13.77,5.98,22.53,7.05,13.94,2.59,224.75,3.84,227.56,97.65,0.08,64.56
1983,3,15,16.65,3.35,24.8,11.17,16.87,5.32,233.75,8.03,234.81,96.78,0.06,44.88
1983,3,16,11.54,2.72,17.58,6.45,12.19,4.48,259.19,5.95,258.81,96.55,0.82,58.5
1983,3,17,9.31,1.65,15.57,3.08,9.56,4.31,290.06,6.01,290.38,96.95,3.88,62.06
1983,3,18,10.33,4.37,16.33,5.85,10.76,6.43,311.62,9.26,341.81,97.26,0.99,69.69
1983,3,19,11.65,4.89,19.71,5.58,12.35,4.23,252.25,6.27,266.44,97.57,0.38,68.5
1983,3,20,15.03,3.07,24.7,5.75,14.8,2.27,245.62,3.33,230.62,97.26,0.0,51.75
1983,3,21,16.55,5.72,25.13,8.73,17.35,1.45,129.12,1.96,121.06,97.16,0.22,53.69
1983,3,22,18.26,8.37,26.23,11.45,18.83,2.16,184.06,3.3,184.62,97.04,1.19,55.81
1983,3,23,17.26,10.99,24.85,11.07,18.5,2.14,182.44,3.3,183.88,96.82,0.87,70.19
1983,3,24,16.34,9.35,22.98,10.88,15.98,3.72,145.31,5.16,145.62,96.18,1.44,66.12
1983,3,25,16.25,6.5,24.48,9.32,16.79,5.99,288.56,8.12,288.0,95.45,0.39,56.69
1983,3,26,12.13,0.45,18.76,6.68,12.81,7.55,298.56,10.13,299.31,96.15,0.04,47.69
1983,3,27,12.72,3.65,20.5,5.51,13.95,3.25,253.62,4.99,255.06,96.15,0.21,58.69
1983,3,28,12.79,2.15,20.4,5.41,12.79,5.91,220.25,8.48,220.25,95.52,0.11,54.81
1983,3,29,10.5,2.3,14.94,5.51,10.89,5.09,141.56,6.75,141.25,95.81,1.74,60.88
1983,3,30,10.75,6.62,15.26,6.57,10.81,13.17,40.38,16.51,26.44,95.42,2.24,76.31
1983,3,31,10.81,5.01,15.65,5.21,11.23,9.85,330.75,12.88,331.44,95.77,0.75,68.88
1983,4,1,12.73,2.23,22.37,3.51,13.3,5.42,257.62,8.14,258.75,95.86,0.0,54.81
1983,4,2,13.91,2.46,22.47,6.98,14.59,3.95,186.69,5.69,188.81,95.93,0.01,51.81
1983,4,3,13.39,5.92,21.11,6.46,14.81,3.83,86.06,5.48,86.56,96.2,0.17,64.94
1983,4,4,12.44,6.22,17.87,6.4,13.62,2.12,70.5,3.03,67.69,96.35,0.17,68.75
1983,4,5,13.2,2.87,21.19,5.41,14.27,4.16,317.0,6.17,316.44,96.69,0.0,56.19
1983,4,6,14.65,3.96,23.13,5.76,15.81,3.28,266.0,4.85,268.44,96.87,0.0,55.38
1983,4,7,17.17,4.7,25.65,9.05,18.6,2.15,237.5,3.27,240.69,96.94,0.0,49.44
1983,4,8,17.1,4.8,26.6,8.26,18.15,2.38,216.19,3.34,217.56,97.29,0.0,53.44
1983,4,9,18.17,5.97,27.51,9.76,19.86,2.38,147.25,3.82,149.38,97.37,0.0,50.62
1983,4,10,19.61,4.31,30.19,10.55,20.37,2.8,212.19,4.11,214.69,97.28,0.0,43.94
1983,4,11,21.54,1.65,32.1,11.94,21.67,4.8,244.94,7.35,246.0,97.13,0.0,31.5
1983,4,12,21.54,1.58,31.74,12.18,22.0,6.34,235.69,8.83,250.81,96.86,0.01,31.94
1983,4,13,13.55,1.33,20.65,7.0,15.31,6.13,298.25,7.87,297.0,97.32,0.01,47.19
1983,4,14,12.48,-0.31,21.19,4.77,14.65,3.23,240.81,4.82,238.81,97.48,0.0,47.81
1983,4,15,12.3,1.44,20.61,4.89,14.13,3.6,170.62,5.26,184.31,97.56,0.0,53.62
1983,4,16,14.22,2.68,22.94,5.55,15.49,3.82,176.44,5.18,164.06,97.29,0.0,49.94
1983,4,17,17.45,5.12,26.29,9.8,18.15,4.92,221.44,6.95,222.31,96.71,0.0,48.19
1983,4,18,20.31,5.15,27.62,12.93,20.49,5.1,185.69,7.55,186.56,96.2,0.0,41.5
1983,4,19,21.56,7.46,32.45,14.25,22.87,3.12,94.0,4.5,97.0,96.08,0.0,46.25
1983,4,20,19.9,8.08,29.12,13.33,21.52,4.37,99.06,5.74,84.88,96.79,0.0,50.12
1983,4,21,21.44,7.58,31.4,14.1,21.42,3.5,198.5,4.57,199.31,96.78,0.02,45.94
1983,4,22,15.2,4.31,21.77,10.86,16.16,2.77,144.56,4.16,147.12,97.17,0.06,50.38
1983,4,23,16.97,8.8,23.3,10.6,17.83,3.62,155.5,4.91,156.25,96.64,0.0,61.12
1983,4,24,17.8,9.08,24.76,11.68,19.29,4.04,80.0,5.6,79.94,96.63,0.03,60.5
1983,4,25,17.94,8.51,26.64,10.1,19.81,3.27,89.38,4.56,89.62,96.75,0.0,59.75
1983,4,26,18.69,10.4,27.52,11.9,20.42,3.35,108.44,4.48,110.56,96.51,0.18,61.44
