YEAR,MO,DY,ALLSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UV_INDEX,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,T2M,T2MDEW,T2M_MAX,T2M_MIN,TS,WS10M,WD10M,WS50M,WD50M,PS,PRECTOTCORR,RH2M
1983,1,1,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,5.48,-0.01,13.02,-0.81,4.48,2.43,263.62,3.73,265.12,98.23,0.11,70.38
1983,1,2,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,5.8,1.58,12.84,0.74,4.75,3.12,264.19,4.79,263.56,98.09,0.07,76.56
1983,1,3,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,5.43,3.12,11.65,0.27,4.99,3.73,212.5,6.01,212.62,98.47,0.16,84.56
1983,1,4,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,7.59,3.09,14.5,2.96,6.81,3.09,302.56,4.49,303.19,98.57,0.07,75.5
1983,1,5,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,9.02,0.41,18.82,3.52,8.19,4.4,285.0,7.34,285.31,98.22,0.0,58.75
1983,1,6,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,11.09,4.09,19.83,5.06,9.82,3.23,216.12,5.13,229.94,98.02,0.0,63.31
1983,1,7,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,9.72,2.79,17.58,4.82,8.4,2.94,205.06,4.7,204.44,98.14,0.0,66.19
1983,1,8,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,7.74,4.09,15.1,2.24,7.42,3.69,286.81,5.95,286.81,98.26,0.13,79.5
1983,1,9,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,7.2,3.85,12.56,2.39,6.81,6.24,328.44,9.33,329.19,98.05,1.48,81.56
1983,1,10,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,8.64,6.8,11.63,5.3,8.33,6.52,151.44,9.21,137.25,98.33,1.35,88.56
1983,1,11,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,8.15,5.02,13.39,3.1,8.08,4.34,14.94,6.41,15.06,98.71,0.84,82.19
1983,1,12,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,6.41,1.5,15.2,0.92,5.61,2.09,246.62,3.3,229.06,98.73,0.38,73.5
1983,1,13,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,6.93,-0.17,15.95,1.64,5.33,2.77,253.06,4.23,253.81,98.35,0.0,65.25
1983,1,14,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,7.58,-1.99,16.54,0.78,5.87,2.91,252.88,4.46,267.19,97.74,0.03,53.19
1983,1,15,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,7.04,2.18,15.23,1.57,6.23,4.48,308.12,7.03,308.19,97.2,0.17,73.38
